"現住戶數、人口密度及性比例-年 依 期間, 區別 與 項目別"

" "," "," 人口密度"
"2018"
" "," 板橋區",23976
" "," 三重區",23646
" "," 中和區",20477
" "," 永和區",38695
" "," 新莊區",21165
" "," 新店區",2514
" "," 樹林區",5552
" "," 鶯歌區",4088
" "," 三峽區",605
" "," 淡水區",2456
" "," 汐止區",2815
" "," 瑞芳區",565
" "," 土城區",8015
" "," 蘆洲區",27079
" "," 五股區",2476
" "," 泰山區",4108
" "," 林口區",2033
" "," 深坑區",1148
" "," 石碇區",54
" "," 坪林區",39
" "," 三芝區",348
" "," 石門區",236
" "," 八里區",985
" "," 平溪區",65
" "," 雙溪區",61
" "," 貢寮區",123
" "," 金山區",442
" "," 萬里區",348
" "," 烏來區",20

"1.戶量：每戶平均人口數。(=戶籍登記人口數/戶籍登記戶數) "

