County,PublishAgency,PublishTime,SiteName,UVI,WGS84Lat,WGS84Lon
花蓮縣,中央氣象局,2019-10-16 12:00,花蓮,9.34,"23,58,30","121,36,48"
連江縣,中央氣象局,2019-10-16 12:00,馬祖,8.14,"26,10,09","119,55,24"
高雄市,中央氣象局,2019-10-16 12:00,高雄,7.77,"22,33,58","120,18,57"
南投縣,中央氣象局,2019-10-16 12:00,玉山,12.11,"23,29,15","120,57,34"
臺南市,中央氣象局,2019-10-16 12:00,臺南,8,"22,59,36","120,12,17"
新竹縣,中央氣象局,2019-10-16 12:00,新竹,8.74,"24,49,40","121,00,51"
臺北市,中央氣象局,2019-10-16 12:00,鞍部,1.12,"25,10,57","121,31,47"
屏東縣,中央氣象局,2019-10-16 12:00,恆春,8.56,"22,00,14","120,44,47"
臺北市,中央氣象局,2019-10-16 12:00,臺北,3.25,"25,02,16","121,30,53"
臺東縣,中央氣象局,2019-10-16 12:00,成功,9.23,"23,05,51","121,22,24"
基隆市,中央氣象局,2019-10-16 12:00,基隆,0.96,"25,07,60","121,44,26"
桃園市,中央氣象局,2019-10-16 12:00,新屋,7.72,"25,00,24","121,02,51"
臺東縣,中央氣象局,2019-10-16 12:00,蘭嶼,9.61,"22,02,13","121,33,30"
臺東縣,中央氣象局,2019-10-16 12:00,臺東,9.70,"22,45,08","121,09,17"
南投縣,中央氣象局,2019-10-16 12:00,日月潭,5.91,"23,52,53","120,54,29"
金門縣,中央氣象局,2019-10-16 12:00,金門,7.89,"24,24,26","118,17,21"
宜蘭縣,中央氣象局,2019-10-16 12:00,宜蘭,2.17,"24,45,50","121,45,24"
澎湖縣,中央氣象局,2019-10-16 12:00,澎湖,8.20,"23,33,56","119,33,47"
臺中市,中央氣象局,2019-10-16 12:00,臺中,6.69,"24,08,45","120,41,03"
嘉義市,中央氣象局,2019-10-16 12:00,嘉義,7.47,"23,29,45","120,25,58"
屏東縣,環境保護署,2019-10-16 12:00,屏東,5,"22,40,23.09","120,29,16.92"
高雄市,環境保護署,2019-10-16 12:00,橋頭,9,"22,45,27.02","120,18,20.48"
臺南市,環境保護署,2019-10-16 12:00,新營,8,"23,18,20.28","120,19,2.10"
嘉義縣,環境保護署,2019-10-16 12:00,朴子,8,"23,28,1.64","120,14,52.12"
嘉義縣,環境保護署,2019-10-16 12:00,塔塔加,11,"23,28,14.19","120,52,50.06"
嘉義縣,環境保護署,2019-10-16 12:00,阿里山,2,"23,30,30.82","120,48,05.02"
雲林縣,環境保護署,2019-10-16 12:00,斗六,8,"23,42,42.67","120,32,41.98"
南投縣,環境保護署,2019-10-16 12:00,南投,7,"23,54,46.8","120,41,7.1"
彰化縣,環境保護署,2019-10-16 12:00,彰化,7,"24,03,57.60","120,32,29.47"
臺中市,環境保護署,2019-10-16 12:00,沙鹿,8,"24,13,32.26","120,34,7.66"
苗栗縣,環境保護署,2019-10-16 12:00,苗栗,9,"24,33,54.97","120,49,12.72"
桃園市,環境保護署,2019-10-16 12:00,桃園,7,"24,59,41.02","121,18,17.83"
新北市,環境保護署,2019-10-16 12:00,板橋,4,"25,00,46.7","121,27,31.2"
新北市,環境保護署,2019-10-16 12:00,淡水,2,"25,09,52.20","121,26,57.26"
